County,Year,Pivot Field Values
Alameda,1994,4976.0
Alameda,1995,5135.0
Alameda,1996,5587.0
Alameda,1997,5639.0
Alameda,1998,5957.0
Alameda,1999,6319.0
Alameda,2000,6676.0
Alameda,2001,7283.0
Alameda,2002,7802.0
Alameda,2003,8005.0
Alameda,2004,8028.0
Alameda,2005,8214.0
Alameda,2006,9078.0
Alameda,2007,9253.0
Alameda,2008,9787.0
Alameda,2009,10217.0
Alameda,2010,10375.0
Alameda,2011,11044.0
Alameda,2012,11780.0
Alameda,2013,12148.0
Alameda,2014,12692.0
Alameda,2015,13201.0
Alameda,2016,13659.0
Alameda,2017,13888.0
Alameda,2018,15876.0
Alameda,2019,15405.0
Alameda,2020,15648.0
Alameda,2021,17088.0
Alameda,2022,17234.0
Amador,1994,13.0
Amador,1995,26.0
Amador,1996,39.0
Amador,1997,56.0
Amador,1998,62.0
Amador,1999,44.0
Amador,2000,72.0
Amador,2001,77.0
Amador,2002,88.0
Amador,2003,65.0
Amador,2004,62.0
Amador,2005,49.0
Amador,2006,32.0
Amador,2007,50.0
Amador,2008,36.0
Amador,2009,60.0
Amador,2010,61.0
Amador,2011,64.0
Amador,2012,47.0
Amador,2013,36.0
Amador,2014,59.0
Amador,2015,39.0
Amador,2016,57.0
Amador,2017,54.0
Amador,2018,52.0
Amador,2019,27.0
Amador,2020,46.0
Amador,2021,60.0
Amador,2022,49.0
Butte,1994,242.0
Butte,1995,276.0
Butte,1996,298.0
Butte,1997,341.0
Butte,1998,328.0
Butte,1999,410.0
Butte,2000,424.0
Butte,2001,460.0
Butte,2002,403.0
Butte,2003,416.0
Butte,2004,405.0
Butte,2005,396.0
Butte,2006,431.0
Butte,2007,449.0
Butte,2008,432.0
Butte,2009,445.0
Butte,2010,399.0
Butte,2011,466.0
Butte,2012,466.0
Butte,2013,579.0
Butte,2014,545.0
Butte,2015,551.0
Butte,2016,497.0
Butte,2017,523.0
Butte,2018,562.0
Butte,2019,573.0
Butte,2020,437.0
Butte,2021,494.0
Butte,2022,539.0
Calaveras,1994,27.0
Calaveras,1995,55.0
Calaveras,1996,46.0
Calaveras,1997,60.0
Calaveras,1998,60.0
Calaveras,1999,76.0
Calaveras,2000,98.0
Calaveras,2001,82.0
Calaveras,2002,86.0
Calaveras,2003,116.0
Calaveras,2004,106.0
Calaveras,2005,74.0
Calaveras,2006,86.0
Calaveras,2007,78.0
Calaveras,2008,68.0
Calaveras,2009,82.0
Calaveras,2010,68.0
Calaveras,2011,92.0
Calaveras,2012,98.0
Calaveras,2013,92.0
Calaveras,2014,100.0
Calaveras,2015,94.0
Calaveras,2016,73.0
Calaveras,2017,74.0
Calaveras,2018,95.0
Calaveras,2019,73.0
Calaveras,2020,58.0
Calaveras,2021,63.0
Calaveras,2022,55.0
Colusa,1994,6.0
Colusa,1995,0.0
Colusa,1996,0.0
Colusa,1997,14.0
Colusa,1998,7.0
Colusa,1999,15.0
Colusa,2000,13.0
Colusa,2001,18.0
Colusa,2002,29.0
Colusa,2003,25.0
Colusa,2004,14.0
Colusa,2005,0.0
Colusa,2006,0.0
Colusa,2007,16.0
Colusa,2008,20.0
Colusa,2009,29.0
Colusa,2010,18.0
Colusa,2011,21.0
Colusa,2012,10.0
Colusa,2013,35.0
Colusa,2014,30.0
Colusa,2015,28.0
Colusa,2016,41.0
Colusa,2017,59.0
Colusa,2018,11.0
Colusa,2019,27.0
Colusa,2020,51.0
Colusa,2021,75.0
Colusa,2022,68.0
Contra Costa,1994,4366.0
Contra Costa,1995,4597.0
Contra Costa,1996,4868.0
Contra Costa,1997,4971.0
Contra Costa,1998,5054.0
Contra Costa,1999,5349.0
Contra Costa,2000,5788.0
Contra Costa,2001,6089.0
Contra Costa,2002,6488.0
Contra Costa,2003,6719.0
Contra Costa,2004,6646.0
Contra Costa,2005,6546.0
Contra Costa,2006,7066.0
Contra Costa,2007,6766.0
Contra Costa,2008,7317.0
Contra Costa,2009,7442.0
Contra Costa,2010,7711.0
Contra Costa,2011,7698.0
Contra Costa,2012,8212.0
Contra Costa,2013,8899.0
Contra Costa,2014,9100.0
Contra Costa,2015,9779.0
Contra Costa,2016,9916.0
Contra Costa,2017,9986.0
Contra Costa,2018,11477.0
Contra Costa,2019,10644.0
Contra Costa,2020,11230.0
Contra Costa,2021,12307.0
Contra Costa,2022,12334.0
Del Norte,1994,0.0
Del Norte,1995,6.0
Del Norte,1996,14.0
Del Norte,1997,14.0
Del Norte,1998,30.0
Del Norte,1999,50.0
Del Norte,2000,42.0
Del Norte,2001,46.0
Del Norte,2002,38.0
Del Norte,2003,68.0
Del Norte,2004,52.0
Del Norte,2005,40.0
Del Norte,2006,29.0
Del Norte,2007,30.0
Del Norte,2008,44.0
Del Norte,2009,52.0
Del Norte,2010,34.0
Del Norte,2011,38.0
Del Norte,2012,54.0
Del Norte,2013,24.0
Del Norte,2014,13.0
Del Norte,2015,22.0
Del Norte,2016,34.0
Del Norte,2017,22.0
Del Norte,2018,41.0
Del Norte,2019,18.0
Del Norte,2020,34.0
Del Norte,2021,25.0
Del Norte,2022,9.0
El Dorado,1994,222.0
El Dorado,1995,256.0
El Dorado,1996,366.0
El Dorado,1997,388.0
El Dorado,1998,399.0
El Dorado,1999,488.0
El Dorado,2000,451.0
El Dorado,2001,443.0
El Dorado,2002,582.0
El Dorado,2003,537.0
El Dorado,2004,566.0
El Dorado,2005,568.0
El Dorado,2006,652.0
El Dorado,2007,595.0
El Dorado,2008,670.0
El Dorado,2009,738.0
El Dorado,2010,695.0
El Dorado,2011,632.0
El Dorado,2012,712.0
El Dorado,2013,660.0
El Dorado,2014,721.0
El Dorado,2015,729.0
El Dorado,2016,753.0
El Dorado,2017,786.0
El Dorado,2018,717.0
El Dorado,2019,703.0
El Dorado,2020,760.0
El Dorado,2021,889.0
El Dorado,2022,892.0
Fresno,1994,1350.0
Fresno,1995,1566.0
Fresno,1996,1429.0
Fresno,1997,1570.0
Fresno,1998,1538.0
Fresno,1999,1749.0
Fresno,2000,1816.0
Fresno,2001,1985.0
Fresno,2002,2009.0
Fresno,2003,2146.0
Fresno,2004,1846.0
Fresno,2005,2197.0
Fresno,2006,2278.0
Fresno,2007,2279.0
Fresno,2008,2375.0
Fresno,2009,2632.0
Fresno,2010,2739.0
Fresno,2011,3125.0
Fresno,2012,3353.0
Fresno,2013,3465.0
Fresno,2014,3465.0
Fresno,2015,3532.0
Fresno,2016,3594.0
Fresno,2017,3899.0
Fresno,2018,3928.0
Fresno,2019,3840.0
Fresno,2020,4158.0
Fresno,2021,4424.0
Fresno,2022,4569.0
Glenn,1994,10.0
Glenn,1995,0.0
Glenn,1996,37.0
Glenn,1997,17.0
Glenn,1998,0.0
Glenn,1999,10.0
Glenn,2000,12.0
Glenn,2001,36.0
Glenn,2002,22.0
Glenn,2003,14.0
Glenn,2004,16.0
Glenn,2005,19.0
Glenn,2006,32.0
Glenn,2007,24.0
Glenn,2008,20.0
Glenn,2009,37.0
Glenn,2010,19.0
Glenn,2011,42.0
Glenn,2012,38.0
Glenn,2013,40.0
Glenn,2014,38.0
Glenn,2015,59.0
Glenn,2016,26.0
Glenn,2017,34.0
Glenn,2018,54.0
Glenn,2019,59.0
Glenn,2020,27.0
Glenn,2021,58.0
Glenn,2022,70.0
Humboldt,1994,173.0
Humboldt,1995,295.0
Humboldt,1996,282.0
Humboldt,1997,272.0
Humboldt,1998,279.0
Humboldt,1999,334.0
Humboldt,2000,338.0
Humboldt,2001,359.0
Humboldt,2002,327.0
Humboldt,2003,350.0
Humboldt,2004,380.0
Humboldt,2005,266.0
Humboldt,2006,288.0
Humboldt,2007,311.0
Humboldt,2008,254.0
Humboldt,2009,254.0
Humboldt,2010,246.0
Humboldt,2011,316.0
Humboldt,2012,269.0
Humboldt,2013,250.0
Humboldt,2014,243.0
Humboldt,2015,343.0
Humboldt,2016,311.0
Humboldt,2017,341.0
Humboldt,2018,271.0
Humboldt,2019,347.0
Humboldt,2020,247.0
Humboldt,2021,350.0
Humboldt,2022,306.0
Imperial,1994,222.0
Imperial,1995,263.0
Imperial,1996,284.0
Imperial,1997,221.0
Imperial,1998,260.0
Imperial,1999,308.0
Imperial,2000,329.0
Imperial,2001,336.0
Imperial,2002,412.0
Imperial,2003,477.0
Imperial,2004,407.0
Imperial,2005,472.0
Imperial,2006,412.0
Imperial,2007,464.0
Imperial,2008,469.0
Imperial,2009,482.0
Imperial,2010,456.0
Imperial,2011,470.0
Imperial,2012,553.0
Imperial,2013,529.0
Imperial,2014,602.0
Imperial,2015,593.0
Imperial,2016,700.0
Imperial,2017,697.0
Imperial,2018,854.0
Imperial,2019,792.0
Imperial,2020,809.0
Imperial,2021,934.0
Imperial,2022,685.0
Inyo,1994,26.0
Inyo,1995,22.0
Inyo,1996,30.0
Inyo,1997,30.0
Inyo,1998,21.0
Inyo,1999,23.0
Inyo,2000,36.0
Inyo,2001,38.0
Inyo,2002,40.0
Inyo,2003,48.0
Inyo,2004,54.0
Inyo,2005,40.0
Inyo,2006,22.0
Inyo,2007,46.0
Inyo,2008,66.0
Inyo,2009,34.0
Inyo,2010,28.0
Inyo,2011,42.0
Inyo,2012,22.0
Inyo,2013,21.0
Inyo,2014,46.0
Inyo,2015,38.0
Inyo,2016,39.0
Inyo,2017,41.0
Inyo,2018,61.0
Inyo,2019,55.0
Inyo,2020,28.0
Inyo,2021,39.0
Inyo,2022,48.0
Kern,1994,645.0
Kern,1995,809.0
Kern,1996,917.0
Kern,1997,904.0
Kern,1998,1010.0
Kern,1999,1143.0
Kern,2000,1147.0
Kern,2001,1323.0
Kern,2002,1398.0
Kern,2003,1361.0
Kern,2004,1300.0
Kern,2005,1425.0
Kern,2006,1443.0
Kern,2007,1550.0
Kern,2008,1778.0
Kern,2009,1837.0
Kern,2010,2001.0
Kern,2011,2223.0
Kern,2012,2431.0
Kern,2013,2419.0
Kern,2014,2596.0
Kern,2015,2376.0
Kern,2016,2766.0
Kern,2017,2878.0
Kern,2018,3052.0
Kern,2019,3270.0
Kern,2020,3246.0
Kern,2021,3501.0
Kern,2022,3537.0
Kings,1994,145.0
Kings,1995,114.0
Kings,1996,128.0
Kings,1997,187.0
Kings,1998,157.0
Kings,1999,157.0
Kings,2000,148.0
Kings,2001,164.0
Kings,2002,130.0
Kings,2003,147.0
Kings,2004,144.0
Kings,2005,212.0
Kings,2006,172.0
Kings,2007,188.0
Kings,2008,190.0
Kings,2009,228.0
Kings,2010,323.0
Kings,2011,295.0
Kings,2012,280.0
Kings,2013,360.0
Kings,2014,409.0
Kings,2015,326.0
Kings,2016,329.0
Kings,2017,381.0
Kings,2018,432.0
Kings,2019,454.0
Kings,2020,419.0
Kings,2021,485.0
Kings,2022,380.0
Lake,1994,33.0
Lake,1995,12.0
Lake,1996,46.0
Lake,1997,26.0
Lake,1998,32.0
Lake,1999,48.0
Lake,2000,16.0
Lake,2001,64.0
Lake,2002,82.0
Lake,2003,21.0
Lake,2004,56.0
Lake,2005,79.0
Lake,2006,55.0
Lake,2007,66.0
Lake,2008,71.0
Lake,2009,64.0
Lake,2010,47.0
Lake,2011,64.0
Lake,2012,59.0
Lake,2013,78.0
Lake,2014,90.0
Lake,2015,126.0
Lake,2016,90.0
Lake,2017,102.0
Lake,2018,146.0
Lake,2019,124.0
Lake,2020,102.0
Lake,2021,111.0
Lake,2022,108.0
Lassen,1994,27.0
Lassen,1995,28.0
Lassen,1996,11.0
Lassen,1997,13.0
Lassen,1998,29.0
Lassen,1999,30.0
Lassen,2000,33.0
Lassen,2001,16.0
Lassen,2002,36.0
Lassen,2003,46.0
Lassen,2004,25.0
Lassen,2005,35.0
Lassen,2006,16.0
Lassen,2007,16.0
Lassen,2008,19.0
Lassen,2009,14.0
Lassen,2010,16.0
Lassen,2011,24.0
Lassen,2012,20.0
Lassen,2013,0.0
Lassen,2014,29.0
Lassen,2015,26.0
Lassen,2016,16.0
Lassen,2017,30.0
Lassen,2018,23.0
Lassen,2019,5.0
Lassen,2020,6.0
Lassen,2021,14.0
Lassen,2022,22.0
Los Angeles,1994,28921.0
Los Angeles,1995,30431.0
Los Angeles,1996,30645.0
Los Angeles,1997,29582.0
Los Angeles,1998,30775.0
Los Angeles,1999,32356.0
Los Angeles,2000,35635.0
Los Angeles,2001,39082.0
Los Angeles,2002,40778.0
Los Angeles,2003,42668.0
Los Angeles,2004,41609.0
Los Angeles,2005,42447.0
Los Angeles,2006,45921.0
Los Angeles,2007,47140.0
Los Angeles,2008,51298.0
Los Angeles,2009,53852.0
Los Angeles,2010,56018.0
Los Angeles,2011,59845.0
Los Angeles,2012,63587.0
Los Angeles,2013,67345.0
Los Angeles,2014,66943.0
Los Angeles,2015,69881.0
Los Angeles,2016,71017.0
Los Angeles,2017,74775.0
Los Angeles,2018,78662.0
Los Angeles,2019,76827.0
Los Angeles,2020,76239.0
Los Angeles,2021,82606.0
Los Angeles,2022,81082.0
Madera,1994,78.0
Madera,1995,82.0
Madera,1996,108.0
Madera,1997,139.0
Madera,1998,135.0
Madera,1999,160.0
Madera,2000,114.0
Madera,2001,186.0
Madera,2002,130.0
Madera,2003,128.0
Madera,2004,116.0
Madera,2005,150.0
Madera,2006,134.0
Madera,2007,172.0
Madera,2008,243.0
Madera,2009,235.0
Madera,2010,236.0
Madera,2011,237.0
Madera,2012,257.0
Madera,2013,356.0
Madera,2014,336.0
Madera,2015,434.0
Madera,2016,364.0
Madera,2017,444.0
Madera,2018,483.0
Madera,2019,434.0
Madera,2020,385.0
Madera,2021,460.0
Madera,2022,461.0
Marin,1994,1156.0
Marin,1995,1212.0
Marin,1996,1246.0
Marin,1997,1334.0
Marin,1998,1279.0
Marin,1999,1395.0
Marin,2000,1361.0
Marin,2001,1477.0
Marin,2002,1387.0
Marin,2003,1581.0
Marin,2004,1457.0
Marin,2005,1460.0
Marin,2006,1574.0
Marin,2007,1583.0
Marin,2008,1594.0
Marin,2009,1679.0
Marin,2010,1667.0
Marin,2011,1518.0
Marin,2012,1671.0
Marin,2013,1803.0
Marin,2014,1761.0
Marin,2015,1709.0
Marin,2016,1903.0
Marin,2017,1880.0
Marin,2018,2154.0
Marin,2019,2216.0
Marin,2020,2222.0
Marin,2021,2703.0
Marin,2022,2659.0
Mariposa,1994,32.0
Mariposa,1995,6.0
Mariposa,1996,26.0
Mariposa,1997,34.0
Mariposa,1998,30.0
Mariposa,1999,20.0
Mariposa,2000,36.0
Mariposa,2001,28.0
Mariposa,2002,28.0
Mariposa,2003,18.0
Mariposa,2004,21.0
Mariposa,2005,29.0
Mariposa,2006,20.0
Mariposa,2007,18.0
Mariposa,2008,32.0
Mariposa,2009,52.0
Mariposa,2010,13.0
Mariposa,2011,38.0
Mariposa,2012,28.0
Mariposa,2013,30.0
Mariposa,2014,34.0
Mariposa,2015,32.0
Mariposa,2016,31.0
Mariposa,2017,31.0
Mariposa,2018,29.0
Mariposa,2019,36.0
Mariposa,2020,32.0
Mariposa,2021,33.0
Mariposa,2022,48.0
Mendocino,1994,166.0
Mendocino,1995,186.0
Mendocino,1996,188.0
Mendocino,1997,208.0
Mendocino,1998,244.0
Mendocino,1999,269.0
Mendocino,2000,263.0
Mendocino,2001,294.0
Mendocino,2002,241.0
Mendocino,2003,278.0
Mendocino,2004,226.0
Mendocino,2005,257.0
Mendocino,2006,215.0
Mendocino,2007,266.0
Mendocino,2008,208.0
Mendocino,2009,186.0
Mendocino,2010,202.0
Mendocino,2011,214.0
Mendocino,2012,207.0
Mendocino,2013,202.0
Mendocino,2014,231.0
Mendocino,2015,220.0
Mendocino,2016,264.0
Mendocino,2017,234.0
Mendocino,2018,256.0
Mendocino,2019,238.0
Mendocino,2020,207.0
Mendocino,2021,286.0
Mendocino,2022,280.0
Merced,1994,342.0
Merced,1995,302.0
Merced,1996,434.0
Merced,1997,394.0
Merced,1998,429.0
Merced,1999,424.0
Merced,2000,445.0
Merced,2001,509.0
Merced,2002,477.0
Merced,2003,422.0
Merced,2004,436.0
Merced,2005,631.0
Merced,2006,629.0
Merced,2007,917.0
Merced,2008,912.0
Merced,2009,903.0
Merced,2010,994.0
Merced,2011,978.0
Merced,2012,1133.0
Merced,2013,1331.0
Merced,2014,1204.0
Merced,2015,1313.0
Merced,2016,1429.0
Merced,2017,1630.0
Merced,2018,1579.0
Merced,2019,1680.0
Merced,2020,1601.0
Merced,2021,1750.0
Merced,2022,1654.0
Modoc,1994,0.0
Modoc,1998,7.0
Modoc,1999,14.0
Modoc,2000,0.0
Modoc,2002,10.0
Modoc,2003,7.0
Modoc,2004,5.0
Modoc,2005,0.0
Modoc,2006,6.0
Modoc,2007,0.0
Modoc,2008,0.0
Modoc,2010,5.0
Modoc,2012,0.0
Modoc,2014,0.0
Modoc,2016,0.0
Modoc,2017,5.0
Modoc,2018,0.0
Modoc,2020,0.0
Modoc,2022,0.0
Mono,1994,17.0
Mono,1995,28.0
Mono,1996,36.0
Mono,1997,28.0
Mono,1998,26.0
Mono,1999,26.0
Mono,2000,26.0
Mono,2001,30.0
Mono,2002,15.0
Mono,2003,14.0
Mono,2004,24.0
Mono,2005,36.0
Mono,2006,14.0
Mono,2007,20.0
Mono,2008,36.0
Mono,2009,22.0
Mono,2010,36.0
Mono,2011,32.0
Mono,2012,14.0
Mono,2013,20.0
Mono,2014,22.0
Mono,2015,31.0
Mono,2016,26.0
Mono,2017,23.0
Mono,2018,18.0
Mono,2019,26.0
Mono,2020,19.0
Mono,2021,42.0
Mono,2022,34.0
Monterey,1994,866.0
Monterey,1995,902.0
Monterey,1996,948.0
Monterey,1997,932.0
Monterey,1998,967.0
Monterey,1999,1063.0
Monterey,2000,1168.0
Monterey,2001,1161.0
Monterey,2002,1304.0
Monterey,2003,1395.0
Monterey,2004,1185.0
Monterey,2005,1299.0
Monterey,2006,1253.0
Monterey,2007,1150.0
Monterey,2008,1190.0
Monterey,2009,1208.0
Monterey,2010,1330.0
Monterey,2011,1558.0
Monterey,2012,1716.0
Monterey,2013,1611.0
Monterey,2014,1556.0
Monterey,2015,1787.0
Monterey,2016,1783.0
Monterey,2017,2183.0
Monterey,2018,2332.0
Monterey,2019,2407.0
Monterey,2020,2293.0
Monterey,2021,2370.0
Monterey,2022,2333.0
Napa,1994,424.0
Napa,1995,419.0
Napa,1996,380.0
Napa,1997,440.0
Napa,1998,410.0
Napa,1999,457.0
Napa,2000,511.0
Napa,2001,470.0
Napa,2002,480.0
Napa,2003,535.0
Napa,2004,470.0
Napa,2005,531.0
Napa,2006,581.0
Napa,2007,552.0
Napa,2008,506.0
Napa,2009,580.0
Napa,2010,724.0
Napa,2011,738.0
Napa,2012,756.0
Napa,2013,868.0
Napa,2014,878.0
Napa,2015,926.0
Napa,2016,1020.0
Napa,2017,929.0
Napa,2018,1065.0
Napa,2019,1008.0
Napa,2020,964.0
Napa,2021,1060.0
Napa,2022,1022.0
Nevada,1994,138.0
Nevada,1995,166.0
Nevada,1996,149.0
Nevada,1997,202.0
Nevada,1998,183.0
Nevada,1999,278.0
Nevada,2000,224.0
Nevada,2001,298.0
Nevada,2002,258.0
Nevada,2003,242.0
Nevada,2004,264.0
Nevada,2005,235.0
Nevada,2006,228.0
Nevada,2007,223.0
Nevada,2008,202.0
Nevada,2009,242.0
Nevada,2010,278.0
Nevada,2011,232.0
Nevada,2012,211.0
Nevada,2013,264.0
Nevada,2014,230.0
Nevada,2015,201.0
Nevada,2016,184.0
Nevada,2017,201.0
Nevada,2018,188.0
Nevada,2019,183.0
Nevada,2020,168.0
Nevada,2021,154.0
Nevada,2022,201.0
Orange,1994,11663.0
Orange,1995,12172.0
Orange,1996,12506.0
Orange,1997,11846.0
Orange,1998,12580.0
Orange,1999,13228.0
Orange,2000,14351.0
Orange,2001,15168.0
Orange,2002,15827.0
Orange,2003,16434.0
Orange,2004,15954.0
Orange,2005,16997.0
Orange,2006,18147.0
Orange,2007,18736.0
Orange,2008,20419.0
Orange,2009,20505.0
Orange,2010,21885.0
Orange,2011,23308.0
Orange,2012,23552.0
Orange,2013,24850.0
Orange,2014,25270.0
Orange,2015,25789.0
Orange,2016,26123.0
Orange,2017,27737.0
Orange,2018,29892.0
Orange,2019,29238.0
Orange,2020,28879.0
Orange,2021,32649.0
Orange,2022,31904.0
Placer,1994,568.0
Placer,1995,733.0
Placer,1996,798.0
Placer,1997,773.0
Placer,1998,1043.0
Placer,1999,1125.0
Placer,2000,1293.0
Placer,2001,1418.0
Placer,2002,1426.0
Placer,2003,1686.0
Placer,2004,1589.0
Placer,2005,1591.0
Placer,2006,1754.0
Placer,2007,1860.0
Placer,2008,1857.0
Placer,2009,1955.0
Placer,2010,2053.0
Placer,2011,2211.0
Placer,2012,2085.0
Placer,2013,2415.0
Placer,2014,2310.0
Placer,2015,2227.0
Placer,2016,2333.0
Placer,2017,2538.0
Placer,2018,2507.0
Placer,2019,2542.0
Placer,2020,2388.0
Placer,2021,2686.0
Placer,2022,3037.0
Plumas,1994,0.0
Plumas,1995,29.0
Plumas,1996,34.0
Plumas,1997,16.0
Plumas,1998,46.0
Plumas,1999,26.0
